id,number,name,latitude,longitude
1,BCH001,해운대해수욕장,35.158,129.159
2,BCH017,중문해수욕장,33.245,126.411
3,BCH172,임랑해수욕장,35.319,129.264
4,BCH010,송정해수욕장,35.178,129.199
5,BCH052,속초해수욕장,38.19,128.602
6,BCH004,망상해수욕장,37.593,129.09
7,BCH014,대천해수욕장,36.31,126.513
8,BCH005,낙산해수욕장,38.115,128.635
9,BCH031,경포대해수욕장,37.803,128.91
10,BCH048,고래불해변,36.598,129.41
11,BCH343,논짓물해변,33.237,126.389
12,BCH020,협재해수욕장,33.394,126.239
13,BCH027,하고수동해수욕장,33.514,126.958
14,BCH329,모진이해수욕장,33.945,126.334
15,BCH217,지리해수욕장,34.196,126.862
16,BCH224,사구미해수욕장,34.32,126.578
17,BCH226,가계해수욕장,34.434,126.354
18,BCH210,덕흥해수욕장,34.527,127.459
19,BCH203,용동해수욕장,34.631,127.18
20,BCH304,홍도몽돌해수욕장,34.684,125.19
21,BCH174,명사해수욕장,34.726,128.603
22,BCH195,만성리해수욕장,34.774,127.744
23,BCH197,모사금해수욕장,34.796,127.756
24,BCH301,죽림해수욕장,34.837,128.586
25,BCH232,톱머리해수욕장,34.968,126.386
26,BCH185,구영해수욕장,35.031,128.691
27,BCH002,광안리해수욕장,35.153,129.118
28,BCH243,가마미해수욕장,35.398,126.408
29,BCH248,고사포해수욕장,35.659,126.504
30,BCH169,도구해수욕장,35.992,129.442
31,BCH035,무창포해수욕장,36.245,126.536
32,BCH510,저두해수욕장,36.356,126.453
33,BCH255,샛별해수욕장,36.448,126.335
34,BCH164,대진해수욕장,36.565,129.426
35,BCH003,몽산포해수욕장,36.669,126.286
36,BCH033,만리포해수욕장,36.784,126.14
37,BCH053,학암포해수욕장,36.898,126.213
38,BCH519,국화리해수욕장,37.062,126.557
39,BCH337,큰풀안해수욕장,37.169,126.263
40,BCH321,밧지름해수욕장,37.215,126.141
41,BCH153,용화해수욕장,37.289,129.304
42,BCH149,하맹방해수욕장,37.394,129.225
43,BCH146,작은후진해수욕장,37.464,129.175
44,BCH271,옹암해수욕장,37.529,126.372
45,BCH136,안인해수욕장,37.734,128.99
46,BCH131,연곡해수욕장,37.859,128.853
47,BCH119,남애3해수욕장,37.946,128.784
48,BCH111,잔교해수욕장,37.993,128.742
49,BCH108,설악해수욕장,38.13,128.622
50,BCH076,천진해수욕장,38.26,128.561
51,BCH095,삼포2리해수욕장,38.318,128.531
52,BCH091,반암해수욕장,38.42,128.462
53,BCH085,마차진해수욕장,38.51,128.419
